scenario,seed,t_event,trigger_type,retrieval_arm,field_name,query,topk_ids,citations,gold_value,predicted_value,field_correct,p_min_pred,p_min_oracle,delta_p_min,under_reservation,over_reservation,verifier_passed,fallback_used,source_generation_arm
S6_moderate_decay,42,0,initial_normal,oracle_z,formula_id,,,,load_backlog_over_spectral_efficiency,load_backlog_over_spectral_efficiency,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,42,0,initial_normal,oracle_z,reliability_target,,,,0.99,0.99,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,42,0,initial_normal,oracle_z,channel_margin_policy,,,,nominal,nominal,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,42,0,initial_normal,oracle_z,service_rule,,,,serve_offered_plus_backlog,serve_offered_plus_backlog,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,43,0,initial_normal,oracle_z,formula_id,,,,load_backlog_over_spectral_efficiency,load_backlog_over_spectral_efficiency,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,43,0,initial_normal,oracle_z,reliability_target,,,,0.99,0.99,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,43,0,initial_normal,oracle_z,channel_margin_policy,,,,nominal,nominal,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,43,0,initial_normal,oracle_z,service_rule,,,,serve_offered_plus_backlog,serve_offered_plus_backlog,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,44,0,initial_normal,oracle_z,formula_id,,,,load_backlog_over_spectral_efficiency,load_backlog_over_spectral_efficiency,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,44,0,initial_normal,oracle_z,reliability_target,,,,0.99,0.99,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,44,0,initial_normal,oracle_z,channel_margin_policy,,,,nominal,nominal,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,44,0,initial_normal,oracle_z,service_rule,,,,serve_offered_plus_backlog,serve_offered_plus_backlog,true,40,40,0,0,0,true,false,oracle
S6_moderate_decay,42,250,sla_upgrade,oracle_z,formula_id,,,,load_backlog_over_spectral_efficiency,load_backlog_over_spectral_efficiency,true,100,100,0,0,0,true,false,oracle
S6_moderate_decay,42,250,sla_upgrade,oracle_z,reliability_target,,,,0.999,0.999,true,100,100,0,0,0,true,false,oracle
S6_moderate_decay,42,250,sla_upgrade,oracle_z,channel_margin_policy,,,,pessimistic_quantile,pessimistic_quantile,true,100,100,0,0,0,true,false,oracle
S6_moderate_decay,42,250,sla_upgrade,oracle_z,service_rule,,,,serve_offered_plus_backlog,serve_offered_plus_backlog,true,100,100,0,0,0,true,false,oracle
